Ee [W/sqm] (280-315nm),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Ee [W/sqm] (315-400nm),0.00E+00,0.00E+00,2.67E-06,8.72E-05,6.68E-05,8.21E-04,0.00E+00,0.00E+00,1.33E-08,2.40E-06,2.66E-04,5.10E-05
X,0.092,0.595,3.41,16,40.9,111.2,0.086,0.639,5.38,28.9,269.1,752.1
Y,0.088,0.185,0.739,3.06,7.75,21.2,0.097,0.5,3.95,21,196.8,553.6
Z,0.205,2.7,16.3,76.4,195.9,534.7,0.068,0.075,0.109,0.312,2.43,6.99
XYZ (CIE1964 10°),,,,,,,,,,,,
X,0.1,0.649,3.73,17.5,44.9,121.9,0.093,0.68,5.72,30.6,285.8,799.3
Y,0.102,0.28,1.26,5.38,13.6,37.5,0.106,0.519,4.05,21.5,201.3,566.2
Z,0.217,2.98,18.1,85.2,218.6,595.7,0.068,0.074,0.103,0.288,2.21,6.37
XYZ (Judd-Vos 1978 2°),,,,,,,,,,,,
X,0.088,0.544,3.13,14.9,38.3,103.6,0.085,0.634,5.35,28.7,267.3,747.2
Y,0.089,0.199,0.831,3.54,8.99,24.5,0.097,0.5,3.95,21,196.8,553.6
Z,0.176,2.34,14.3,68.2,175.5,476.8,0.059,0.066,0.097,0.279,2.25,6.42
XYZ (CIE2006 2° Schanda-Csuti mod.),,,,,,,,,,,,
X,0.092,0.586,3.4,16.3,42.1,113.5,0.089,0.68,5.75,30.9,287.8,804.2
Y,0.098,0.244,1.06,4.55,11.6,31.6,0.104,0.534,4.21,22.4,209.7,589.8
Z,0.181,2.67,16.5,79.6,205.4,556.1,0.051,0.055,0.082,0.24,1.99,5.65
XYZ (CIE2006 2°),,,,,,,,,,,,
X,0.093,0.58,3.32,15.7,40.3,109,0.09,0.682,5.76,30.9,288.1,805
Y,0.095,0.234,1.02,4.36,11.1,30.2,0.102,0.53,4.2,22.3,209,587.6
Z,0.203,2.79,17,80.6,207.2,563.4,0.064,0.069,0.098,0.273,2.13,6.1
XYZ (CIE2006 10°),,,,,,,,,,,,
X,0.102,0.673,3.87,18.2,46.7,126.6,0.095,0.692,5.82,31.2,290.9,813.4
Y,0.105,0.302,1.39,5.97,15.1,41.6,0.107,0.523,4.07,21.6,202.3,568.9
Z,0.223,3.12,18.9,89.3,229.1,624,0.067,0.072,0.103,0.291,2.25,6.46
XYZ (CIE2006 2° TU Ilmenau mod.),,,,,,,,,,,,
X,0.091,0.557,3.21,15.3,39.3,106.2,0.089,0.679,5.74,30.8,287.1,802.3
Y,0.095,0.236,1.03,4.42,11.2,30.6,0.102,0.53,4.19,22.3,208.6,586.6
Z,0.19,2.71,16.6,79.7,205.2,556.6,0.056,0.061,0.088,0.252,2.03,5.79
XYZ (CIE2006 10° TU Ilmenau mod.),,,,,,,,,,,,
X,0.1,0.663,3.84,18.2,47,127,0.093,0.685,5.77,30.9,288.5,806.6
Y,0.106,0.306,1.4,6.06,15.4,42.3,0.108,0.522,4.06,21.6,201.9,567.9
Z,0.209,3.05,18.6,88.9,228.7,621.3,0.058,0.063,0.092,0.27,2.17,6.2
,,,,,,,,,,,,
L*a*b* (CIE1931 2°) (Xn=100.0, Yn=100.0, Zn=100.0),,,,,,,,,,
L*,0.797,1.68,6.67,20.3,33.4,53.1,0.875,4.52,23.5,53,129.4,189.2
a*,0.137,15.9,64.4,114.8,158.1,220,-0.42,5.41,18.5,33.1,68.9,95.1
b*,-1.81,-29.5,-70.1,-120.3,-165,-230.6,0.442,6.61,38.8,86.5,192.7,271.4
L*a*b* (CIE1964 10°) (Xn=100.0, Yn=100.0, Zn=100.0),,,,,,,,,,
L*,0.925,2.53,11,27.8,43.7,67.6,0.957,4.69,23.8,53.5,130.5,190.8
a*,-0.089,14.4,50.8,91,125.6,173.6,-0.483,6.28,20.9,37.4,78.3,108.5
b*,-1.79,-30.1,-66.6,-114.1,-156.6,-218.4,0.596,6.94,39.5,87.8,196.4,276.6
L*a*b* (Judd-Vos 1978 2°) (Xn=100.0, Yn=100.0, Zn=100.0),,,,,,,,,,
L*,0.803,1.8,7.5,22.1,36,56.6,0.875,4.52,23.5,53,129.4,189.2
a*,-0.054,13.4,56.3,100.8,139.2,193.3,-0.479,5.21,18.1,32.3,67.4,93
b*,-1.35,-26.5,-64,-110.4,-151.7,-211.5,0.586,6.76,39,87,194.2,273.7
L*a*b* (CIE2006 2° Schanda-Csuti mod.) (Xn=100.0, Yn=100.0, Zn=100.0),,,,,,,,,,
L*,0.884,2.2,9.49,25.4,40.5,63,0.944,4.83,24.4,54.5,132.5,193.6
a*,-0.221,13.3,52.1,94.7,131.2,181.1,-0.589,5.68,19,34.1,71.2,98.4
b*,-1.3,-28.4,-65.7,-114,-156.8,-218.1,0.839,7.47,40.7,90.2,201.8,284.6
L*a*b* (CIE2006 2°) (Xn=100.0, Yn=100.0, Zn=100.0),,,,,,,,,,
L*,0.858,2.11,9.13,24.8,39.7,61.8,0.922,4.79,24.3,54.4,132.3,193.3
a*,-0.07,13.5,52.4,93.6,129.2,179.1,-0.463,5.89,19.3,34.6,72.2,99.8
b*,-1.68,-29.5,-67.4,-115.8,-159,-221.7,0.6,7.18,40.4,89.5,200.3,282.2
L*a*b* (CIE2006 10°) (Xn=100.0, Yn=100.0, Zn=100.0),,,,,,,,,,
L*,0.949,2.73,11.9,29.3,45.8,70.6,0.971,4.72,23.9,53.6,130.7,191.1
a*,-0.118,14.4,49.1,87.9,121.4,167.6,-0.496,6.59,21.8,38.9,81.4,112.9
b*,-1.84,-30.7,-66.8,-114.4,-157,-218.9,0.634,7.01,39.6,87.9,196.5,276.8
L*a*b* (CIE2006 2° TU Ilmenau mod.) (Xn=100.0, Yn=100.0, Zn=100.0),,,,,,,,,,
L*,0.861,2.14,9.24,25,39.9,62.2,0.924,4.79,24.3,54.4,132.2,193.2
a*,-0.175,12.5,50.1,90.5,125.2,173,-0.509,5.79,19.2,34.4,71.8,99.3
b*,-1.48,-28.8,-66.4,-114.7,-157.7,-219.6,0.717,7.3,40.5,89.8,201,283.3
L*a*b* (CIE2006 10° TU Ilmenau mod.) (Xn=100.0, Yn=100.0, Zn=100.0),,,,,,,,,,
L*,0.953,2.76,12,29.6,46.1,71.1,0.973,4.72,23.9,53.6,130.6,191
a*,-0.218,13.9,48.1,87.2,120.8,166.2,-0.564,6.35,21.3,38.1,79.8,110.7
b*,-1.61,-30.1,-66,-113.8,-156.4,-217.6,0.771,7.15,39.7,88.2,197,277.7
,,,,,,,,,,,,
CIE 13.3-1995 CRI,,,,,,,,,,,,
Ref. Illum.,CRI not calculated!,Planckian radiator,CRI not calculated!,CRI not calculated!,CRI not calculated!,CRI not calculated!,daylight 5000-7000K,Planckian radiator,Planckian radiator,Planckian radiator,Planckian radiator,Planckian radiator
CCT [K],0,1347,0,0,0,0,5185,1994,1709,1682,1689,1708
R1,0,32.2,0,0,0,0,81.5,49.1,29.5,27.3,27.2,28.1
R2,0,-1.5,0,0,0,0,93.4,82.6,68.1,66.3,65.9,66.1
R3,0,-161.6,0,0,0,0,78.5,71.9,76.6,77.3,78.4,79.9
R4,0,-123.8,0,0,0,0,56.7,33.2,9.3,6.8,6.9,8.5
