sample1,,
Wavelength (nm),%T,
1628,80.95966339,
1627,81.09785461,
1626,81.36199951,
1625,81.62426758,
1624,81.89591217,
1623,82.26108551,
1622,82.60417938,
1621,82.96902466,
1620,83.41334534,
1619,83.70764923,
1618,84.04637909,
1617,84.41629791,
1616,84.72854614,
1615,85.08444214,
1614,85.28287506,
1613,85.56834412,
1612,85.77093506,
1611,85.98369598,
1610,86.15545654,
1609,86.35362244,
1608,86.4274292,
1607,86.50440216,
1606,86.58558655,
1605,86.70772552,
1604,86.78384399,
1603,86.83652496,
1602,86.88358307,
1601,87.01686096,
1600,86.98166656,
1599,87.06614685,
1598,87.09411621,
1597,87.19068909,
1596,87.15568542,
1595,87.21339417,
1594,87.27187347,
1593,87.2694397,
1592,87.34189606,
1591,87.37821198,
1590,87.35457611,
1589,87.37430573,
1588,87.39538574,
1587,87.44045258,
1586,87.47954559,
1585,87.44425201,
1584,87.48493195,
1583,87.45640564,
1582,87.50122833,
1581,87.46962738,
1580,87.48149109,
1579,87.49829865,
1578,87.43208313,
1577,87.47399902,
1576,87.47668457,
1575,87.47389221,
1574,87.49034119,
1573,87.44843292,
1572,87.44869995,
1571,87.39641571,
1570,87.47088623,
1569,87.43013,
1568,87.43976593,
1567,87.39810944,
1566,87.45252228,
1565,87.42386627,
1564,87.37812805,
1563,87.39739227,
1562,87.3373642,
1561,87.30552673,
1560,87.36367798,
1559,87.3351059,
1558,87.32002258,
1557,87.24456024,
1556,87.13329315,
1555,87.26068115,
1554,87.19314575,
1553,87.14710999,
1552,87.16149139,
1551,87.13824463,
1550,87.13578033,
1549,87.16764832,
1548,87.09724426,
1547,87.10857391,
1546,87.11392212,
1545,87.11100769,
1544,87.08436584,
1543,87.11261749,
1542,87.09288788,
1541,87.07334137,
1540,87.14894867,
1539,87.11937714,
1538,87.14472961,
1537,87.16362762,
1536,87.09954834,
1535,87.06515503,
1534,87.10005188,
1533,87.08091736,
1532,87.1103363,
1531,87.07933807,
1530,87.07578278,
1529,87.10372162,
1528,87.03285217,
1527,87.05168152,
1526,87.09436798,
1525,87.01856995,
1524,86.97349548,
1523,86.99977875,
1522,86.90674591,
1521,86.86846161,
1520,86.8879776,
1519,86.87026978,
1518,86.78015137,
1517,86.77720642,
1516,86.75669861,
1515,86.68138885,
1514,86.70418549,
1513,86.56278992,
1512,86.50854492,
1511,86.46989441,
1510,86.39128876,
1509,86.33437347,
1508,86.29476166,
1507,86.18878937,
1506,86.17066956,
1505,86.13843536,
1504,86.03085327,
1503,85.91526794,
1502,85.90007019,
1501,85.77392578,
1500,85.68880463,
1499,85.70915222,
1498,85.54218292,
1497,85.41728973,
1496,85.42266846,
1495,85.25228882,
1494,85.21955109,
1493,85.13285065,
1492,85.07955933,
1491,84.90866852,
1490,84.79725647,
1489,84.71920776,
1488,84.63217926,
1487,84.47689056,
1486,84.42282104,
1485,84.35214996,
1484,84.1798172,
1483,84.11579895,
1482,83.97824097,
1481,83.81378937,
1480,83.83000183,
1479,83.6836853,
1478,83.57122803,
1477,83.34072876,
1476,83.20458221,
1475,83.0930481,
1474,82.90190125,
1473,82.74977112,
1472,82.55804443,
1471,82.40466309,
1470,82.24227905,
1469,81.95884705,
1468,81.83878326,
1467,81.66290283,
1466,81.54495239,
1465,81.46987915,
1464,81.26982117,
1463,81.20698547,
1462,81.06472778,
1461,80.95799255,
1460,80.84078979,
1459,80.76570129,
1458,80.69506836,
1457,80.58456421,
1456,80.52405548,
1455,80.33784485,
1454,80.24500275,
1453,80.1649704,
1452,79.98752594,
1451,79.80876923,
1450,79.66966248,
1449,79.45108032,
1448,79.29998016,
1447,79.21359253,
1446,78.96239471,
1445,78.73841095,
1444,78.50193787,
1443,78.33486176,
1442,78.11667633,
1441,77.87136078,
1440,77.63478088,
1439,77.43027496,
1438,77.1317215,
1437,76.88806915,
1436,76.65558624,
1435,76.43743896,
1434,76.16837311,
1433,75.93788147,
1432,75.65453339,
1431,75.43556213,
1430,75.20845795,
1429,74.98303986,
1428,74.73002625,
1427,74.50416565,
1426,74.31162262,
1425,74.07486725,
1424,73.91616821,
1423,73.77709961,
1422,73.57135773,
1421,73.47625732,
1420,73.29403687,
1419,73.25762939,
1418,73.12828064,
1417,73.01538849,
1416,72.94445038,
1415,72.9677124,
1414,72.94377899,
1413,72.95769501,
1412,73.01900482,
1411,73.13230896,
1410,73.23809814,
1409,73.38415527,
1408,73.6105957,
1407,73.83602905,
1406,74.07792664,
1405,74.3691864,
1404,74.66819,
1403,74.91628265,
1402,75.26148987,
1401,75.57287598,
1400,75.74699402,
1399,76.11417389,
1398,76.37363434,
1397,76.59600067,
1396,76.77427673,
1395,76.90869904,
1394,77.13352203,
1393,77.29695892,
1392,77.29621124,
1391,77.50536346,
1390,77.39481354,
1389,77.53147125,
1388,77.66257477,
1387,77.66853333,
1386,77.68615723,
1385,77.86354065,
1384,78.09959412,
1383,78.23162842,
1382,78.35784149,
1381,78.58637238,
1380,78.80143738,
1379,79.04837799,
1378,79.18075562,
1377,79.39039612,
1376,79.57289886,
1375,79.77888489,
1374,79.9339447,
1373,80.30506897,
1372,80.35427094,
1371,80.55828857,
1370,80.83922577,
1369,80.97393799,
1368,81.22870636,
1367,81.41505432,
1366,81.73590088,
1365,81.9773941,
1364,82.23529816,
1363,82.45613861,
1362,82.78269958,
1361,83.12671661,
1360,83.32568359,
1359,83.59648895,
1358,83.72730255,
1357,84.07244873,
1356,84.27832031,
1355,84.52507019,
1354,84.84149933,
1353,85.00515747,
1352,85.30944824,
1351,85.61680603,
1350,85.94200897,
1349,86.25888062,
1348,86.59119415,
1347,86.86536407,
1346,87.19826508,
1345,87.40132904,
1344,87.59868622,
1343,87.81841278,
1342,88.06925201,
1341,88.27560425,
1340,88.39183044,
1339,88.5396347,
1338,88.72690582,
1337,88.83004761,
1336,88.97993469,
1335,89.11037445,
1334,89.14602661,
1333,89.21676636,
1332,89.31005859,
1331,89.40357208,
1330,89.42697906,
1329,89.50956726,
1328,89.46513367,
1327,89.48921967,
1326,89.53030396,
1325,89.57311249,
1324,89.66173553,
1323,89.62914276,
1322,89.70500946,
1321,89.7297287,
1320,89.7618866,
1319,89.78105927,
1318,89.81073761,
1317,89.82312775,
1316,89.85604858,
1315,89.85798645,
1314,89.86517334,
1313,89.84300232,
1312,89.91351318,
1311,89.99777985,
1310,89.91570282,
1309,89.99064636,
1308,89.95018005,
1307,89.91594696,
1306,89.95926666,
1305,89.97041321,
1304,90.08061218,
1303,90.00705719,
1302,89.93524933,
1301,90.01320648,
1300,89.91871643,
1299,90.01125336,
1298,90.00312805,
1297,89.92935181,
1296,89.92635345,
1295,89.89627075,
1294,89.94313812,
1293,89.88517761,
1292,89.94633484,
1291,89.86434174,
1290,89.88226318,
1289,89.82341003,
1288,89.81785583,
1287,89.85942841,
1286,89.82034302,
1285,89.83591461,
1284,89.76587677,
1283,89.74370575,
1282,89.72122955,
1281,89.76452637,
1280,89.68118286,
1279,89.71411133,
1278,89.62931824,
1277,89.65991211,
1276,89.68444061,
1275,89.63845825,
1274,89.61946869,
1273,89.618927,
1272,89.65786743,
1271,89.52519226,
1270,89.50172424,
1269,89.53675842,
1268,89.55957794,
1267,89.42035675,
1266,89.34290314,
1265,89.39096832,
1264,89.36105347,
1263,89.29470062,
1262,89.24213409,
1261,89.147789,
1260,89.09270477,
1259,89.09523773,
1258,89.05545807,
1257,89.07769775,
1256,89.07568359,
1255,88.95620728,
1254,88.74359131,
1253,88.76794434,
1252,88.65374756,
1251,88.52855682,
1250,88.47231293,
1249,88.40715027,
1248,88.38376617,
1247,88.32668304,
1246,88.23123932,
1245,88.05885315,
1244,87.90815735,
1243,87.89776611,
1242,87.74810028,
1241,87.60057068,
1240,87.54489136,
1239,87.44941711,
1238,87.23582458,
1237,87.06781006,
1236,86.92551422,
1235,86.75526428,
1234,86.56099701,
1233,86.33131409,
1232,86.25939941,
1231,86.06983185,
1230,85.84459686,
1229,85.67329407,
1228,85.48722076,
1227,85.22185516,
1226,85.13430023,
1225,84.86669159,
1224,84.69392395,
1223,84.48432922,
1222,84.30365753,
1221,84.10171509,
1220,83.89730072,
1219,83.69896698,
1218,83.47006226,
1217,83.32765961,
1216,83.12763977,
1215,82.92985535,
1214,82.79252625,
1213,82.63428497,
1212,82.47884369,
1211,82.28513336,
1210,82.07924652,
1209,81.93442535,
1208,81.76163483,
1207,81.64898682,
1206,81.56256104,
1205,81.40109253,
1204,81.26165771,
1203,81.13287354,
1202,81.12626648,
1201,80.925354,
1200,80.74613953,
1199,80.70672607,
1198,80.58673859,
1197,80.48125458,
1196,80.42311096,
1195,80.26170349,
1194,80.21533966,
1193,80.05228424,
1192,79.92655945,
1191,79.95189667,
1190,79.78974915,
1189,79.7851944,
1188,79.67933655,
1187,79.58557892,
1186,79.61060333,
1185,79.54949951,
1184,79.49256897,
1183,79.5918045,
1182,79.57739258,
1181,79.61767578,
1180,79.66338348,
1179,79.86181641,
1178,79.89627075,
1177,80.02442932,
1176,80.10601044,
1175,80.30404663,
1174,80.50701904,
1173,80.76728821,
1172,80.92337036,
1171,81.1988678,
1170,81.35648346,
1169,81.67178345,
1168,81.91890717,
1167,82.08912659,
1166,82.37102509,
1165,82.57424164,
1164,82.85687256,
1163,83.0769043,
1162,83.31351471,
1161,83.62178802,
1160,83.76524353,
1159,84.03253937,
1158,84.20648193,
1157,84.44415283,
1156,84.7127533,
1155,84.86607361,
1154,85.07958984,
1153,85.21348572,
1152,85.44189453,
1151,85.65470886,
1150,85.75895691,
1149,86.09475708,
1148,86.28827667,
1147,86.52292633,
1146,86.6391983,
1145,86.83100128,
1144,87.07867432,
1143,87.25162506,
1142,87.38234711,
1141,87.56233215,
1140,87.77008057,
1139,87.84018707,
1138,87.99958801,
1137,88.1938324,
1136,88.29721832,
1135,88.44039154,
1134,88.53894043,
1133,88.71682739,
1132,88.88080597,
1131,88.93926239,
1130,89.06622314,
1129,89.12613678,
1128,89.28695679,
1127,89.42797089,
1126,89.51103973,
1125,89.5534668,
1124,89.70291138,
1123,89.79277802,
1122,89.85371399,
1121,89.95727539,
1120,90.04654694,
1119,90.05428314,
1118,90.05645752,
1117,90.11264801,
1116,90.20884705,
1115,90.2690506,
1114,90.30940247,
1113,90.33150482,
1112,90.40314484,
1111,90.44441223,
1110,90.39684296,
1109,90.5109787,
1108,90.47654724,
1107,90.49219513,
1106,90.58534241,
